Model,mean_fit_time,mean_score_time,mean_test_score
1,2.2307920455932617,0.5203535556793213,0.26
1,2.3214368343353273,0.5339915752410889,0.26
1,2.2838489532470705,0.5376333713531494,0.75
1,2.2767531871795654,0.5297802448272705,0.75
1,2.334407663345337,0.5606353282928467,0.16
1,2.26153621673584,0.5464483261108398,0.16
1,2.309374189376831,0.5653929710388184,0.79
1,2.2549985885620116,0.5388761043548584,0.79
1,2.2663079261779786,0.5436983108520508,0.26
1,2.2604527950286863,0.5367766857147217,0.26
1,2.292561483383179,0.556739330291748,0.73
1,2.3360307693481444,0.5569664001464844,0.73
1,2.2812434673309325,0.5497388362884521,0.17
1,2.3158018589019775,0.5589864253997803,0.17
1,2.336421012878418,0.5503066539764404,0.77
1,2.310564565658569,0.5438675880432129,0.77
1,2.385872220993042,0.5819200038909912,0.26
1,2.5842029094696044,0.6146066188812256,0.26
1,2.339953327178955,0.5623536109924316,0.72
1,2.337141180038452,0.5570559501647949,0.72
1,2.31125431060791,0.5547388076782227,0.17
1,2.3294790267944334,0.5592631816864013,0.17
1,2.381717300415039,0.5871395111083985,0.76
1,2.4418939113616944,0.5914288997650147,0.76
1,2.595697355270386,0.6250931262969971,0.26
1,2.502454233169556,0.5996025562286377,0.26
1,2.4744424343109133,0.5962960720062256,0.71
1,2.590428924560547,0.6467989444732666,0.71
1,2.417638921737671,0.5337659358978272,0.17
1,2.339037227630615,0.5453353881835937,0.18
1,2.3680548667907715,0.5591874122619629,0.75
1,2.205324983596802,0.5194966793060303,0.75
2,2.663955879211426,0.6105686664581299,0.29
2,2.6684761524200438,0.6361037254333496,0.28
2,14.580941200256348,4.267545509338379,0.54
2,17.992454481124877,3.3155790328979493,0.54
2,5.6884706020355225,1.3133024215698241,0.22
2,4.129101181030274,0.7393967151641846,0.22
2,16.241039848327638,3.9543118476867676,0.3
2,19.822668075561523,3.260820484161377,0.3
2,5.438096570968628,1.0319319725036622,0.28
2,3.972562837600708,0.8594031810760498,0.28
2,14.939681959152221,4.190185499191284,0.52
2,19.20112986564636,3.386659526824951,0.52
2,5.115977191925049,1.1501996517181396,0.29
2,3.3711191177368165,0.725040054321289,0.28
2,14.183738899230956,4.134495735168457,0.54
2,18.77723984718323,3.7021938800811767,0.54
2,5.711798143386841,1.300239658355713,0.22
2,4.120349264144897,0.8888011932373047,0.22
2,18.89538245201111,4.350855970382691,0.28
2,21.52712125778198,3.6763182640075684,0.28
2,5.684934806823731,1.3406169891357422,0.22
2,4.307458353042603,0.9524369716644288,0.22
2,18.63063178062439,4.620561647415161,0.34
2,23.38109712600708,3.8488783836364746,0.34
2,6.039818048477173,1.2842329025268555,0.29
2,5.185794162750244,1.01952805519104,0.28
2,15.845928764343261,4.168067502975464,0.54
2,19.84782404899597,3.599639320373535,0.54
2,6.035831880569458,1.2695011138916015,0.22
2,4.31554856300354,0.7948071479797363,0.22
2,18.072823572158814,4.549952459335327,0.28
2,21.06440019607544,3.830250883102417,0.28
2,6.362144660949707,1.3262636184692382,0.22
2,4.67450065612793,0.954830551147461,0.22
2,17.907116651535034,4.847706937789917,0.34
2,22.58702645301819,3.6605224132537844,0.34
2,5.619738960266114,1.3078866958618165,0.36
2,4.234113883972168,1.0242104530334473,0.36
2,9.741449689865112,3.2463427543640138,0.74
2,11.31550612449646,2.898401641845703,0.75
2,4.734168148040771,0.9330795764923095,0.24
2,3.2526565074920653,0.759589147567749,0.24
