Model,mean_fit_time,mean_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__n_estimators,param_k_best__k,param_k_best__score_func,param_tfidf__analyzer,param_tfidf__smooth_idf,mean_test_score,rank_test_score
3,5.320439767837525,1.1891483306884765,10,10,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,128
3,5.343620347976684,1.1869526863098145,10,10,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,115
3,6.496746492385864,1.267663049697876,10,10,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.47,27
3,6.206368017196655,1.222598123550415,10,10,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.47,25
3,4.777998733520508,1.169730806350708,10,10,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,125
3,4.841764068603515,1.1842757701873778,10,10,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,113
3,5.021670818328857,1.1781062126159667,10,10,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.39,71
3,4.70252251625061,1.137819766998291,10,10,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.39,68
3,4.87568678855896,1.1766465187072754,10,10,40,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,101
3,5.089851140975952,1.1704992771148681,10,10,40,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,98
3,5.509383678436279,1.187012243270874,10,10,40,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.46,33
3,5.385587167739868,1.159152364730835,10,10,40,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.46,32
3,5.516975927352905,1.247481346130371,10,10,40,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,113
3,5.605672311782837,1.2989307403564454,10,10,40,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,96
3,6.1794211864471436,1.200730276107788,10,10,40,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.46,29
3,6.210264062881469,1.2517772674560548,10,10,40,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.47,26
3,4.8964863300323485,1.1521620273590087,10,10,80,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,137
3,4.629428052902222,1.1042634963989257,10,10,80,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,140
3,4.539680814743042,1.1211508750915526,10,10,80,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.39,69
3,4.5210882186889645,1.1273282051086426,10,10,80,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.39,70
3,5.100014400482178,1.222603702545166,10,10,80,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,139
3,5.097698068618774,1.1823951244354247,10,10,80,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,136
3,5.551880359649658,1.1943839550018311,10,10,80,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.45,44
3,5.548661518096924,1.19451904296875,10,10,80,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.46,31
3,5.090676259994507,1.1074705123901367,10,10,80,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,138
3,5.077459096908569,1.1481330871582032,10,10,80,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,130
3,6.091426134109497,1.2197611331939697,10,10,80,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.46,30
3,5.821847343444825,1.1560648441314698,10,10,80,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.47,28
3,4.604329013824463,1.108568286895752,,auto,10,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,121
3,4.688626003265381,1.156357192993164,,auto,10,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,126
3,5.636250782012939,1.1431187629699706,,auto,10,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.41,59
3,5.5415643692016605,1.1562125205993652,,auto,10,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.42,57
3,5.048589134216309,1.187765121459961,,auto,10,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,104
3,5.096677303314209,1.1843284130096436,,auto,10,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,85
