Model,mean_fit_time,mean_score_time,param_SVC__C,param_SVC__gamma,param_SVC__kernel,mean_test_score,rank_test_score
4,136.47972130775452,13.89272780418396,0.1,1,linear,0.36,17
4,177.66810665130615,14.941717863082886,0.1,1,poly,0.42,3
4,180.42618856430053,16.842171669006348,0.1,1,sigmoid,0.11,33
4,152.7211911201477,15.55309329032898,0.1,0.1,linear,0.36,19
4,155.58256149291992,16.656497144699095,0.1,0.1,poly,0.35,21
4,181.70558362007142,15.99275221824646,0.1,0.1,sigmoid,0.14,29
4,151.00933480262756,15.347957324981689,0.1,0.001,linear,0.35,20
4,164.42711486816407,15.993145036697388,0.1,0.001,poly,0.16,26
4,177.23782935142518,15.226237201690674,0.1,0.001,sigmoid,0.18,23
4,142.42948083877565,14.096273374557494,1,1,linear,0.41,9
4,236.14523792266846,14.031911134719849,1,1,poly,0.4,13
4,169.35489830970764,14.743855857849121,1,1,sigmoid,0.12,32
4,142.21851024627685,13.69907341003418,1,0.1,linear,0.4,12
4,154.03804235458375,14.096297454833984,1,0.1,poly,0.41,4
4,158.16855735778807,17.44637417793274,1,0.1,sigmoid,0.11,34
4,146.89176664352416,13.300341987609864,1,0.001,linear,0.4,15
4,164.4037512779236,15.617871856689453,1,0.001,poly,0.16,28
4,173.2144015312195,15.570408296585082,1,0.001,sigmoid,0.18,24
4,153.68930683135986,14.51107325553894,10,1,linear,0.41,6
4,262.0215850353241,15.3268328666687,10,1,poly,0.4,14
4,162.9877344608307,15.215451288223267,10,1,sigmoid,0.13,30
4,153.66227912902832,14.44612398147583,10,0.1,linear,0.41,11
4,153.74878087043763,14.28515853881836,10,0.1,poly,0.43,1
4,155.60375142097473,18.928939247131346,10,0.1,sigmoid,0.1,35
4,164.07569766044617,14.032636308670044,10,0.001,linear,0.41,8
4,175.96045050621032,17.392372179031373,10,0.001,poly,0.16,25
4,178.57650566101074,15.66604299545288,10,0.001,sigmoid,0.24,22
4,257.7724138259888,12.49438419342041,100,1,linear,0.41,5
4,255.50015578269958,13.153480768203735,100,1,poly,0.4,16
4,155.98285880088807,15.858933210372925,100,1,sigmoid,0.12,31
4,247.90200452804567,13.142680263519287,100,0.1,linear,0.41,7
4,169.3129569530487,14.481806516647339,100,0.1,poly,0.42,2
4,143.9717978477478,15.81235704421997,100,0.1,sigmoid,0.1,36
4,249.1707669734955,11.760875940322876,100,0.001,linear,0.41,10
4,163.12605867385864,13.320592880249023,100,0.001,poly,0.16,27
4,110.84288377761841,8.038930654525757,100,0.001,sigmoid,0.36,18
