Model,mean_fit_time,mean_score_time,param_SVC__C,param_SVC__gamma,param_SVC__kernel,param_k_best__k,param_k_best__score_func,param_tfidf__analyzer,param_tfidf__smooth_idf,mean_test_score,rank_test_score
2,0.12183685302734375,0.025336694717407227,1,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.12172751426696778,0.02285490036010742,1,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.11637086868286133,0.02371535301208496,1,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.11625919342041016,0.02414250373840332,1,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.12026424407958984,0.024297475814819336,1,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11912484169006347,0.023610639572143554,1,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11192145347595214,0.023408031463623045,1,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11309270858764649,0.024486494064331055,1,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10543684959411621,0.0232297420501709,1,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.11431970596313476,0.02337651252746582,1,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.10752720832824707,0.024302005767822266,1,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.12,69
2,0.11262631416320801,0.02753787040710449,1,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.11,74
2,0.1213259220123291,0.025048065185546874,1,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.12041049003601074,0.024186086654663087,1,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.11896219253540039,0.02287921905517578,1,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.10366697311401367,0.021366453170776366,1,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.1093966007232666,0.022267770767211915,1,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.1101574420928955,0.02427330017089844,1,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10636601448059083,0.02286820411682129,1,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.10331125259399414,0.020524215698242188,1,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.1110506534576416,0.020198917388916014,1,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.1070866584777832,0.020697355270385742,1,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.11211738586425782,0.024664640426635742,10,1,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.11140317916870117,0.023107528686523438,10,1,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.1202460765838623,0.025550127029418945,10,1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.27,6
2,0.10932283401489258,0.023799562454223634,10,1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.28,2
2,0.09970717430114746,0.021879959106445312,10,1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.11,74
2,0.10752105712890625,0.022064065933227538,10,1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.11,82
2,0.10889477729797363,0.02287135124206543,10,1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.11,82
2,0.11188826560974122,0.0245208740234375,10,1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.11,82
2,0.10761504173278809,0.023101091384887695,10,1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.11024680137634277,0.023649072647094725,10,1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.1103322982788086,0.021329498291015624,10,1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.27,6
2,0.11735892295837402,0.02544827461242676,10,1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.28,1
2,0.10963091850280762,0.024071645736694337,10,0.1,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.11015644073486328,0.02357773780822754,10,0.1,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.12087779045104981,0.026362800598144533,10,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.27,6
2,0.1197402000427246,0.024257612228393555,10,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.28,2
2,0.09623074531555176,0.021367692947387697,10,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.1105832576751709,0.02216038703918457,10,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11843414306640625,0.025066184997558593,10,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.12017393112182617,0.026114654541015626,10,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11521821022033692,0.02465982437133789,10,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.12,69
2,0.13721489906311035,0.02483506202697754,10,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.11,74
2,0.12212285995483399,0.025224685668945312,10,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.11536216735839844,0.025788354873657226,10,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.11003575325012208,0.024390363693237306,10,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.11438951492309571,0.022487115859985352,10,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.11329512596130371,0.02477235794067383,10,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.27,6
2,0.11558685302734376,0.02375307083129883,10,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.28,2
2,0.1165764331817627,0.024172353744506835,10,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.1083298683166504,0.021133613586425782,10,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11372685432434082,0.022673988342285158,10,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11637530326843262,0.023482275009155274,10,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.09499626159667969,0.022543668746948242,10,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.10941205024719239,0.02402462959289551,10,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11831831932067871,0.023659229278564453,10,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.11403875350952149,0.02149481773376465,10,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.11596393585205078,0.022457695007324217,100,1,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.19,19
2,0.11070685386657715,0.023449802398681642,100,1,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,19
2,0.10763916969299317,0.025134897232055663,100,1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.24,16
2,0.11273279190063476,0.023234844207763672,100,1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.25,11
2,0.1026501178741455,0.019888544082641603,100,1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.12,66
2,0.09411144256591797,0.020712900161743163,100,1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.12,66
