Model,mean_fit_time,mean_score_time,mean_test_score
1,0.10513243675231934,0.02124934196472168,0.11
1,0.1086205005645752,0.022401952743530275,0.11
1,0.10160508155822753,0.01962451934814453,0.26
1,0.08841466903686523,0.01599874496459961,0.25
1,0.07386302947998047,0.015342092514038086,0.12
1,0.07417383193969726,0.013723230361938477,0.1
1,0.0801572322845459,0.01714191436767578,0.32
1,0.06604666709899902,0.013671302795410156,0.32
1,0.07180638313293457,0.017180442810058594,0.11
1,0.0657996654510498,0.01220860481262207,0.11
1,0.06817998886108398,0.015970516204833984,0.24
1,0.06717190742492676,0.016488122940063476,0.24
1,0.07841734886169434,0.018149280548095705,0.12
1,0.06516780853271484,0.015785884857177735,0.1
1,0.07159857749938965,0.016700124740600585,0.32
1,0.08236966133117676,0.016802978515625,0.31
1,0.09414615631103515,0.02033538818359375,0.1
1,0.08039159774780273,0.020603466033935546,0.1
1,0.09086709022521973,0.020000696182250977,0.22
1,0.09195775985717773,0.023084306716918947,0.21
1,0.08487963676452637,0.01927332878112793,0.12
1,0.07473282814025879,0.01743149757385254,0.1
1,0.06844072341918946,0.014940738677978516,0.33
1,0.07384357452392579,0.017458009719848632,0.31
1,0.07737035751342773,0.016478633880615233,0.1
1,0.08777079582214356,0.016485166549682618,0.09
1,0.07940940856933594,0.01849079132080078,0.19
1,0.08421535491943359,0.017836999893188477,0.18
1,0.07491250038146972,0.016131782531738283,0.12
1,0.08185129165649414,0.016916227340698243,0.1
1,0.08875279426574707,0.015540409088134765,0.32
1,0.06934452056884766,0.012544965744018555,0.31
2,0.07532253265380859,0.01685614585876465,0.09
2,0.08554487228393555,0.01647343635559082,0.09
2,0.09861359596252442,0.020075368881225585,0.13
2,0.09506402015686036,0.01714935302734375,0.14
2,0.08781218528747559,0.018107843399047852,0.1
2,0.08472666740417481,0.01800508499145508,0.09
2,0.0922886848449707,0.019151926040649414,0.09
2,0.09956603050231934,0.02392439842224121,0.09
2,0.10653305053710938,0.024682092666625976,0.09
2,0.10744719505310059,0.022151994705200195,0.09
2,0.11064319610595703,0.023541927337646484,0.12
2,0.10407285690307617,0.021911144256591797,0.14
2,0.10540890693664551,0.02212233543395996,0.09
2,0.10748133659362794,0.021744775772094726,0.09
2,0.10947856903076172,0.021713113784790038,0.13
2,0.12116522789001465,0.02514204978942871,0.14
2,0.1152463436126709,0.026057624816894533,0.1
2,0.10815858840942383,0.023139810562133788,0.09
2,0.11476035118103027,0.023556947708129883,0.09
2,0.11901979446411133,0.023748254776000975,0.09
2,0.09807982444763183,0.022454452514648438,0.09
2,0.10497136116027832,0.023271894454956053,0.09
2,0.11073799133300781,0.021324014663696288,0.13
2,0.10581717491149903,0.02387237548828125,0.14
2,0.11465663909912109,0.024419307708740234,0.09
2,0.10821051597595215,0.023137807846069336,0.09
2,0.11828908920288086,0.024158620834350587,0.13
2,0.1361611843109131,0.023232507705688476,0.14
2,0.12606306076049806,0.022466278076171874,0.09
2,0.10647320747375488,0.0208035945892334,0.09
2,0.1119450569152832,0.02228245735168457,0.09
2,0.11275753974914551,0.024760007858276367,0.09
2,0.10825214385986329,0.024309778213500978,0.09
2,0.11384673118591308,0.023260736465454103,0.09
2,0.12013711929321289,0.025235939025878906,0.13
2,0.12140913009643554,0.02402052879333496,0.14
2,0.11867036819458007,0.02465786933898926,0.12
2,0.11346068382263183,0.026257038116455078,0.11
2,0.12123889923095703,0.02463221549987793,0.18
2,0.12169857025146484,0.024925613403320314,0.19
2,0.1342465877532959,0.026450300216674806,0.1
2,0.10992817878723145,0.022746706008911134,0.09
2,0.10878772735595703,0.02228713035583496,0.09
2,0.11862654685974121,0.023998355865478514,0.09
2,0.10831637382507324,0.023787832260131835,0.11
2,0.11179347038269043,0.021175241470336913,0.11
2,0.11843295097351074,0.024484634399414062,0.18
2,0.1152498722076416,0.02331385612487793,0.19
2,0.1398061752319336,0.026001405715942384,0.12
2,0.1076272964477539,0.026821422576904296,0.11
2,0.12183685302734375,0.025336694717407227,0.18
2,0.12172751426696778,0.02285490036010742,0.19
2,0.11637086868286133,0.02371535301208496,0.1
2,0.11625919342041016,0.02414250373840332,0.09
2,0.12026424407958984,0.024297475814819336,0.09
2,0.11912484169006347,0.023610639572143554,0.09
2,0.11192145347595214,0.023408031463623045,0.09
2,0.11309270858764649,0.024486494064331055,0.09
2,0.10543684959411621,0.0232297420501709,0.13
2,0.11431970596313476,0.02337651252746582,0.14
2,0.10752720832824707,0.024302005767822266,0.12
2,0.11262631416320801,0.02753787040710449,0.11
2,0.1213259220123291,0.025048065185546874,0.18
2,0.12041049003601074,0.024186086654663087,0.19
2,0.11896219253540039,0.02287921905517578,0.1
2,0.10366697311401367,0.021366453170776366,0.09
2,0.1093966007232666,0.022267770767211915,0.09
2,0.1101574420928955,0.02427330017089844,0.09
2,0.10636601448059083,0.02286820411682129,0.09
2,0.10331125259399414,0.020524215698242188,0.09
2,0.1110506534576416,0.020198917388916014,0.13
2,0.1070866584777832,0.020697355270385742,0.14
2,0.11211738586425782,0.024664640426635742,0.18
2,0.11140317916870117,0.023107528686523438,0.19
2,0.1202460765838623,0.025550127029418945,0.27
2,0.10932283401489258,0.023799562454223634,0.28
2,0.09970717430114746,0.021879959106445312,0.11
2,0.10752105712890625,0.022064065933227538,0.11
2,0.10889477729797363,0.02287135124206543,0.11
2,0.11188826560974122,0.0245208740234375,0.11
2,0.10761504173278809,0.023101091384887695,0.18
2,0.11024680137634277,0.023649072647094725,0.19
2,0.1103322982788086,0.021329498291015624,0.27
2,0.11735892295837402,0.02544827461242676,0.28
2,0.10963091850280762,0.024071645736694337,0.18
2,0.11015644073486328,0.02357773780822754,0.19
2,0.12087779045104981,0.026362800598144533,0.27
2,0.1197402000427246,0.024257612228393555,0.28
2,0.09623074531555176,0.021367692947387697,0.1
2,0.1105832576751709,0.02216038703918457,0.09
2,0.11843414306640625,0.025066184997558593,0.09
2,0.12017393112182617,0.026114654541015626,0.09
2,0.11521821022033692,0.02465982437133789,0.12
2,0.13721489906311035,0.02483506202697754,0.11
2,0.12212285995483399,0.025224685668945312,0.18
2,0.11536216735839844,0.025788354873657226,0.19
2,0.11003575325012208,0.024390363693237306,0.18
2,0.11438951492309571,0.022487115859985352,0.19
2,0.11329512596130371,0.02477235794067383,0.27
2,0.11558685302734376,0.02375307083129883,0.28
2,0.1165764331817627,0.024172353744506835,0.1
2,0.1083298683166504,0.021133613586425782,0.09
2,0.11372685432434082,0.022673988342285158,0.09
2,0.11637530326843262,0.023482275009155274,0.09
2,0.09499626159667969,0.022543668746948242,0.09
2,0.10941205024719239,0.02402462959289551,0.09
2,0.11831831932067871,0.023659229278564453,0.13
2,0.11403875350952149,0.02149481773376465,0.14
2,0.11596393585205078,0.022457695007324217,0.19
2,0.11070685386657715,0.023449802398681642,0.19
2,0.10763916969299317,0.025134897232055663,0.24
2,0.11273279190063476,0.023234844207763672,0.25
2,0.1026501178741455,0.019888544082641603,0.12
2,0.09411144256591797,0.020712900161743163,0.12
2,0.08439321517944336,0.01590900421142578,0.11
2,0.09370770454406738,0.018779897689819337,0.12
2,0.10655288696289063,0.023218917846679687,0.19
2,0.09951887130737305,0.021655559539794922,0.19
2,0.10668540000915527,0.021871376037597656,0.25
2,0.11196074485778809,0.025841379165649415,0.25
2,0.11378631591796876,0.023153972625732423,0.19
2,0.11589670181274414,0.02309718132019043,0.19
2,0.11906576156616211,0.024300813674926758,0.24
2,0.11050782203674317,0.024418163299560546,0.25
2,0.10187721252441406,0.02166924476623535,0.1
2,0.10258913040161133,0.021655559539794922,0.09
2,0.10862483978271484,0.0235231876373291,0.09
2,0.11288704872131347,0.024651288986206055,0.09
2,0.1091463565826416,0.023500394821166993,0.18
2,0.11247334480285645,0.024234628677368163,0.19
2,0.11899418830871582,0.025205612182617188,0.27
2,0.11401958465576172,0.024230813980102538,0.28
2,0.11691246032714844,0.022044849395751954,0.19
2,0.11923131942749024,0.024054908752441408,0.19
2,0.11237354278564453,0.022914361953735352,0.24
2,0.11574130058288574,0.023486232757568358,0.25
2,0.11152257919311523,0.02264852523803711,0.1
2,0.11352934837341308,0.02456831932067871,0.09
2,0.11632938385009765,0.024683761596679687,0.09
2,0.12269997596740723,0.024331188201904295,0.09
2,0.11638455390930176,0.024654626846313477,0.09
2,0.09967179298400879,0.020717763900756837,0.09
2,0.10438694953918456,0.020451831817626952,0.13
2,0.08475203514099121,0.015995264053344727,0.14
3,0.0876852035522461,0.01886582374572754,0.22
3,0.10004734992980957,0.01960439682006836,0.19
3,0.10936107635498046,0.024486875534057616,0.31
3,0.09960741996765136,0.0196962833404541,0.3
3,0.2571121692657471,0.03751249313354492,0.22
3,0.29697237014770506,0.036348819732666016,0.19
3,0.33765525817871095,0.03942594528198242,0.37
3,0.3173686504364014,0.03818659782409668,0.33
3,0.5487439155578613,0.05001521110534668,0.22
3,0.5019687652587891,0.04933328628540039,0.2
3,0.5180880069732666,0.051611328125,0.36
3,0.506787109375,0.046233844757080075,0.35
3,0.1610257625579834,0.029853248596191408,0.22
3,0.1468134880065918,0.026868724822998048,0.2
3,0.15443072319030762,0.031487560272216795,0.32
3,0.1379106044769287,0.025704669952392577,0.3
3,0.28081517219543456,0.039577150344848634,0.22
3,0.3012338638305664,0.03817086219787598,0.2
3,0.3484381675720215,0.03993258476257324,0.39
3,0.31940474510192873,0.0377964973449707,0.36
3,0.5084354877471924,0.05004901885986328,0.22
3,0.501658582687378,0.05029869079589844,0.2
3,0.5316408634185791,0.04785575866699219,0.36
3,0.49988818168640137,0.04704303741455078,0.38
3,0.14350481033325196,0.027701282501220705,0.21
3,0.14281435012817384,0.02579078674316406,0.2
3,0.1311206817626953,0.026256752014160157,0.19
3,0.1290876865386963,0.0258181095123291,0.15
3,0.29235153198242186,0.03697361946105957,0.22
3,0.27663631439208985,0.037584877014160155,0.2
3,0.3085325717926025,0.044002866744995116,0.26
3,0.3027956008911133,0.036791658401489256,0.27
3,0.47928056716918943,0.04796524047851562,0.22
3,0.47319483757019043,0.05174322128295898,0.18
3,0.4725793838500977,0.04238734245300293,0.28
3,0.4793529987335205,0.04698677062988281,0.25
3,0.13812804222106934,0.026512956619262694,0.2
3,0.13618931770324708,0.026277971267700196,0.2
3,0.13849849700927735,0.027086687088012696,0.28
3,0.1220588207244873,0.02403864860534668,0.31
3,0.29721484184265134,0.03759822845458984,0.21
3,0.29746432304382325,0.04230523109436035,0.19
3,0.3301089286804199,0.06161766052246094,0.35
3,0.3113616943359375,0.037639522552490236,0.36
3,0.4949972629547119,0.050562715530395506,0.21
3,0.47813854217529295,0.051680374145507815,0.19
3,0.4916415214538574,0.04840540885925293,0.38
3,0.493784761428833,0.04575190544128418,0.33
3,0.14473137855529786,0.02719879150390625,0.22
3,0.15763096809387206,0.027175331115722658,0.19
3,0.14118008613586425,0.024536561965942384,0.24
3,0.12667760848999024,0.026253461837768555,0.27
3,0.28634228706359866,0.036438798904418944,0.22
3,0.3149970054626465,0.038936805725097653,0.19
3,0.2941157341003418,0.03742904663085937,0.36
3,0.32554020881652834,0.043714046478271484,0.35
3,0.47937746047973634,0.04945354461669922,0.22
3,0.466265344619751,0.04738168716430664,0.19
3,0.5445318222045898,0.04748368263244629,0.39
3,0.5045512676239013,0.048779869079589845,0.37
3,0.13899636268615723,0.026543951034545897,0.18
3,0.16309061050415039,0.026208019256591795,0.18
3,0.13974881172180176,0.026778411865234376,0.15
3,0.1355137348175049,0.02387380599975586,0.15
3,0.29570255279541013,0.042301511764526366,0.21
3,0.2868928909301758,0.037802696228027344,0.19
3,0.29664926528930663,0.03706488609313965,0.23
3,0.33443222045898435,0.038509368896484375,0.24
3,0.5136349201202393,0.050238847732543945,0.22
3,0.46929097175598145,0.04903059005737305,0.19
3,0.4969661712646484,0.05119400024414063,0.26
3,0.4903558731079102,0.047362565994262695,0.23
3,0.13873515129089356,0.02657036781311035,0.22
3,0.13916916847229005,0.026770591735839844,0.19
