Model,mean_fit_time,mean_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__n_estimators,mean_test_score,rank_test_score
5,1.3367299556732177,0.06186065673828125,10,auto,10,10,0.1,30
5,1.8006004333496093,0.0712118148803711,10,auto,10,100,0.11,26
5,2.0347806453704833,0.0802215576171875,10,auto,10,200,0.14,6
5,1.516983938217163,0.06497735977172851,10,auto,40,10,0.09,34
5,1.6970553874969483,0.07341465950012208,10,auto,40,100,0.12,19
5,1.9266422748565675,0.09137082099914551,10,auto,40,200,0.13,10
5,1.5053236484527588,0.060538530349731445,10,auto,80,10,0.13,10
5,1.6246613025665284,0.07454414367675781,10,auto,80,100,0.12,19
5,1.8829559326171874,0.08813581466674805,10,auto,80,200,0.12,19
5,1.5147006034851074,0.0618593692779541,10,10,10,10,0.16,1
5,1.8269867420196533,0.0762753963470459,10,10,10,100,0.15,2
5,1.9268025398254394,0.08898396492004394,10,10,10,200,0.13,10
5,1.5126852512359619,0.07551035881042481,10,10,40,10,0.14,7
5,1.6874668598175049,0.07219281196594238,10,10,40,100,0.14,7
5,1.9631666183471679,0.08629379272460938,10,10,40,200,0.14,7
5,1.479743242263794,0.06933608055114746,10,10,80,10,0.08,36
5,1.6391557693481444,0.07104792594909667,10,10,80,100,0.11,28
5,1.9059977054595947,0.08095822334289551,10,10,80,200,0.12,14
5,1.4718132972717286,0.06926560401916504,,auto,10,10,0.12,14
5,1.7619453907012939,0.07076153755187989,,auto,10,100,0.09,32
5,2.0291138172149656,0.083854341506958,,auto,10,200,0.15,2
5,1.554421615600586,0.05758481025695801,,auto,40,10,0.12,19
5,1.7188720703125,0.06797428131103515,,auto,40,100,0.11,28
5,1.841685914993286,0.08109097480773926,,auto,40,200,0.12,14
5,1.5442139148712157,0.07393922805786132,,auto,80,10,0.1,30
5,1.6643041133880616,0.07579245567321777,,auto,80,100,0.09,34
5,1.9035202980041503,0.09239811897277832,,auto,80,200,0.09,32
5,1.5919992446899414,0.06581006050109864,,10,10,10,0.12,14
5,1.7293369770050049,0.07323055267333985,,10,10,100,0.12,14
5,2.021538734436035,0.0803255558013916,,10,10,200,0.15,2
5,1.5073061466217041,0.059629058837890624,,10,40,10,0.15,2
5,1.7631603240966798,0.07840275764465332,,10,40,100,0.13,10
5,2.2259955406188965,0.0811793327331543,,10,40,200,0.12,19
5,1.6016621112823486,0.06141939163208008,,10,80,10,0.12,19
5,1.609350824356079,0.060892152786254886,,10,80,100,0.11,26
5,1.5046696662902832,0.04029073715209961,,10,80,200,0.12,19
