Model,mean_fit_time,mean_score_time,mean_test_score
1,8.947630643844604,2.0194111347198485,0.13
1,8.441059398651124,2.107527160644531,0.13
1,10.083023405075073,2.4933123111724855,0.46
1,9.305023336410523,2.1631099700927736,0.46
1,8.439755058288574,2.206076192855835,0.04
1,8.886470508575439,2.1313024520874024,0.04
1,8.387683534622193,2.1886295795440676,0.49
1,8.919220924377441,1.8883111953735352,0.49
1,8.87945613861084,2.2906450271606444,0.13
1,9.76892876625061,2.328603458404541,0.13
1,9.217919063568115,2.2295609951019286,0.45
1,9.896039533615113,2.5197978019714355,0.45
1,9.012267255783081,1.8883068084716796,0.05
1,5.508517456054688,1.5235776901245117,0.05
1,7.19563250541687,1.739060878753662,0.48
1,8.54275107383728,1.9533568382263184,0.48
1,7.847914409637451,1.7810810089111329,0.13
1,9.007937335968018,2.3649336814880373,0.13
1,7.736480331420898,2.0114185333251955,0.43
1,8.001330089569091,2.10017352104187,0.43
1,7.800884962081909,1.7917247772216798,0.05
1,6.424282884597778,1.6157821655273437,0.05
1,6.592755222320557,1.5953464031219482,0.46
1,7.141477346420288,2.18453369140625,0.46
1,7.193796539306641,2.032094621658325,0.13
1,7.966261863708496,1.7597911357879639,0.13
1,6.796934986114502,1.7608276844024657,0.42
1,6.771540117263794,1.5422319889068603,0.42
1,6.793375444412232,1.5984152793884276,0.05
1,6.9942083835601805,1.5776605606079102,0.05
1,7.415261220932007,1.8635366916656495,0.45
1,7.64706244468689,1.5506264686584472,0.45
2,9.082397270202637,2.5415122509002686,0.15
2,9.969861030578613,2.8493615627288817,0.15
2,77.21144790649414,18.22235498428345,0.29
2,91.27290687561035,14.520728731155396,0.28
2,21.653294563293457,4.978118848800659,0.11
2,17.989923810958864,3.4643789768218993,0.11
2,87.59723615646362,17.04979944229126,0.18
2,99.42188911437988,15.51656756401062,0.17
2,21.81974196434021,5.350293064117432,0.15
2,18.31533589363098,3.7588212490081787,0.15
2,90.48418116569519,20.467551755905152,0.27
2,96.7474015712738,14.926615810394287,0.27
2,19.33771867752075,4.623715782165528,0.15
2,15.203067684173584,3.1147258281707764,0.15
2,82.44553933143615,18.36780023574829,0.29
2,92.74674243927002,14.736375570297241,0.28
2,21.450453424453734,5.407809638977051,0.11
2,18.14204077720642,3.588495302200317,0.11
2,86.22202157974243,18.97307868003845,0.15
2,100.07179732322693,15.25618109703064,0.15
2,22.89287829399109,4.874059247970581,0.12
2,19.17860984802246,3.8541068553924562,0.12
2,93.8222442150116,20.255270195007324,0.2
2,105.95368266105652,16.952191495895384,0.2
2,20.020190382003783,4.992824840545654,0.15
2,19.719214057922365,4.137027025222778,0.15
2,76.30500326156616,18.946696949005126,0.29
2,90.40805044174195,15.044138145446777,0.28
2,23.199811458587646,5.2800839900970455,0.11
2,18.3055326461792,3.4350748538970945,0.11
2,86.0114369392395,18.831133365631104,0.15
2,96.75091733932496,11.02159161567688,0.15
2,22.104814434051512,4.698042964935302,0.12
2,11.926514816284179,1.9432334423065185,0.12
2,106.82033123970032,23.108380222320555,0.2
2,123.97661447525024,17.786287212371825,0.2
2,24.49140820503235,5.795972537994385,0.16
2,19.11983585357666,4.319560432434082,0.16
2,65.08588604927063,20.4876211643219,0.45
2,75.81836786270142,16.012311029434205,0.45
2,24.08738956451416,5.830384302139282,0.13
2,17.06304121017456,3.4354700565338137,0.13
2,87.24835815429688,22.50363359451294,0.3
2,103.87938981056213,18.171977281570435,0.3
2,26.047244024276733,5.884807491302491,0.16
2,20.56878719329834,3.8688952922821045,0.16
2,72.73218784332275,22.92407398223877,0.44
2,82.51249346733093,17.97798252105713,0.44
2,21.981731986999513,5.30184326171875,0.16
2,15.538160371780396,3.368168258666992,0.16
2,58.718201875686646,21.765482902526855,0.45
2,74.61409287452697,15.500120258331298,0.45
2,24.04767327308655,5.285085773468017,0.11
2,16.433273601531983,3.567704200744629,0.11
2,106.14336037635803,22.362758445739747,0.15
2,117.01552424430847,17.473145532608033,0.15
2,24.903185319900512,6.116684913635254,0.15
2,19.56540665626526,4.133244132995605,0.15
2,101.75482578277588,22.802495765686036,0.29
2,115.06637573242188,18.008380699157716,0.28
2,23.88422636985779,5.720121288299561,0.16
2,17.943170881271364,4.091664171218872,0.16
2,62.931978702545166,22.417433643341063,0.45
2,75.50358200073242,17.24156222343445,0.45
2,24.23554973602295,5.506012392044068,0.11
2,17.771346235275267,3.6233458518981934,0.11
2,107.07119512557983,21.751767778396605,0.15
2,115.78745889663696,16.820835828781128,0.15
2,26.483291387557983,6.4527020931243895,0.12
2,19.739850807189942,4.002351331710815,0.12
2,112.11818418502807,23.244614791870116,0.2
2,127.35032992362976,17.791555404663086,0.2
2,25.013070249557494,5.766660451889038,0.17
2,20.083445739746093,4.802175903320313,0.17
2,42.09739952087402,17.3342565536499,0.52
2,53.180003023147584,15.568920040130616,0.52
2,23.06695075035095,4.649292659759522,0.14
2,15.16774320602417,3.437399911880493,0.14
2,59.76816306114197,21.149791479110718,0.45
2,75.42940802574158,15.864403104782104,0.45
2,26.5923481464386,6.044989681243896,0.17
2,17.984752559661864,3.7524881839752195,0.17
2,40.71429309844971,19.0324586391449,0.37
2,53.17106523513794,15.596612358093262,0.37
2,21.68380174636841,4.759589624404907,0.17
2,13.317666006088256,3.1762397289276123,0.17
2,39.190325593948366,16.937734174728394,0.52
2,50.36245326995849,13.930854558944702,0.52
2,21.87499318122864,4.410827875137329,0.11
2,15.110121774673463,3.3047391891479494,0.11
2,105.81739268302917,23.038592481613158,0.15
2,122.88618588447571,17.779911708831786,0.15
2,25.67659683227539,6.798381042480469,0.16
2,21.486116456985474,4.662123441696167,0.16
2,68.43609075546264,21.402011489868165,0.45
2,77.02795519828797,13.451571321487426,0.45
2,20.84878578186035,4.602207231521606,0.17
